P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+	BS_REP
YRI	CEU	NEA	ANC	1567.4301931350217	1589.670513000363	6328.262146929954	6184.914503833443	10198.4791666666	102.08564814814788	10971.618055550765	605.9143518518523	-0.00704453925784511	0.01145573558955278	0.007728473496217526	-0.002202798437337928	0.013829031505633207	0.005918617330176389	0
YRI	CEU	NEA	ANC	2614.1942690796427	2649.5842101571247	10339.753518980137	10143.64261831326	16194.494212962863	192.01041666666663	17581.214120365672	1129.2395833333342	-0.006723296053790902	0.009574139920568325	0.006242275588802193	-0.002211528005775772	0.011920204485208917	0.004952199723646108	1
YRI	CEU	NEA	ANC	1715.7751239244205	1787.7395599513532	7119.735514868436	7031.055169751806	11450.283564814774	103.81365740740738	12153.03587962472	647.436342592593	-0.0205406406195854	0.006266812017296863	0.0009468460378807901	-0.006342451583108835	0.007707581411225247	0.0007314833840471036	2
YRI	CEU	NEA	ANC	1447.9350916572935	1481.5081135428297	5984.8168724255665	5959.41262158485	9463.297453703723	106.35532407407398	10228.836805550933	578.6446759259261	-0.011460547118967867	0.00212690578772417	-0.00054921008482682	-0.003588033507145897	0.002632512441149051	-0.0004297739434782162	3
YRI	CEU	NEA	ANC	907.6985713617578	876.5310629442617	3683.453972595479	3588.0381476800762	5816.548611111088	79.47453703703694	6322.506944442662	424.77546296296305	0.017468327965317488	0.013121904464332573	0.013978271060377544	0.005432648770972404	0.01617839422073244	0.01087971197528744	4
YRI	CEU	NEA	ANC	1914.1531752712049	1820.8128974934377	7414.978745788237	7216.687289560835	11875.357638888909	115.35069444444439	12887.99884258646	651.3993055555557	0.024990930562503386	0.013552213107403056	0.015878345702603613	0.007937093763525535	0.016204784313429886	0.012153040648905902	5
YRI	CEU	NEA	ANC	2289.540532641213	2236.1914164796076	8776.73048774449	8582.4907991948	14179.003472222159	129.01041666666666	15000.269675919635	850.2395833333344	0.01178795314467729	0.011189424072601172	0.01131319779579603	0.0037970919950391386	0.01372715727660948	0.008779737641017114	6
YRI	CEU	NEA	ANC	3129.682472876852	3228.4387860082047	13099.605873543236	12941.53432473057	20604.66203703714	236.6481481481482	22626.31481481603	1292.3518518518533	-0.015532310427918824	0.006070070189290109	0.0018307588819499857	-0.004848598084726639	0.007409385170822638	0.0014223602850299303	7
YRI	CEU	NEA	ANC	1753.4856317807598	1842.9326014777403	7327.255249249486	7215.961899082147	11344.381944444358	129.5763888888889	12436.252314810532	682.4236111111117	-0.024871125629884784	0.007652594954212458	0.0012043450714852933	-0.007975793182849359	0.0094686891372094	0.0009511397248861514	8
YRI	CEU	NEA	ANC	2399.5334946689063	2540.8001192480365	10486.488507759093	10418.176849513997	16490.565972222215	180.71643518518516	18240.688657403814	991.0335648148155	-0.028594551627279065	0.003267770953402506	-0.0028227885176299672	-0.00866143027612465	0.003960175312400622	-0.0021738987848357433	9
YRI	CEU	NEA	ANC	2390.920477927396	2595.7860082304364	10349.864992514149	10318.05459689318	16451.83449074063	182.0914351851851	17825.355324067805	928.1585648148156	-0.041082331769818216	0.0015391193817723306	-0.006745572286742414	-0.012591811044802417	0.0018825841986807258	-0.005217699783228288	10
YRI	CEU	NEA	ANC	2090.503904788603	2114.4439300411436	8391.600051436879	8235.264403290548	13470.28819444441	114.50347222222219	14367.693287029906	674.4965277777782	-0.005693298987978988	0.009402593530007431	0.006355453911235506	-0.0017924836129402212	0.011417030726641594	0.004894662040582452	11
YRI	CEU	NEA	ANC	1359.0710461092212	1376.3650275907175	5620.797313409739	5549.390537316342	9024.945601851898	67.79513888888881	9680.008101847803	488.4548611111115	-0.006322202755081949	0.006392620880476606	0.003891432337447954	-0.0019307458943561707	0.007768738778221392	0.002981634142876562	12
YRI	CEU	NEA	ANC	2914.48273241668	2916.875198746701	11670.45787737835	11457.955562571535	18442.241898148328	192.5358796296293	19880.549768518766	1121.4641203703702	-0.0004102760211708605	0.009187933074551447	0.007255231603325946	-0.00013109615725278654	0.011327967620201716	0.005677295556397095	13
YRI	CEU	NEA	ANC	1942.8488472689746	1923.8627361578742	8054.767080525128	7995.396289281675	12540.759259259155	182.8287037037036	13813.925925921449	987.6712962962971	0.004910144111207301	0.0036990770670372037	0.003934196631677476	0.0015363503643063669	0.004628848635697795	0.003111353485466812	14
YRI	CEU	NEA	ANC	2086.6793864571346	2215.8803544706075	8884.877010845676	8814.540941824316	14353.318287037042	112.32986111111103	15302.917824067026	731.6701388888898	-0.030028860909114042	0.003973919888746912	-0.002675436718092952	-0.009072471948524346	0.0048270450507066215	-0.002043052082633298	15
