P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+
NA18486	NA12829	AltaiNeandertal	Ancestor	2342	2246	9077	8803	15279	0	15590	0	0.020924149956408022	0.015324384787472035	0.016467865408581094	0.006283133712939329	0.017575368826170622	0.011986134957400628
NA18486	NA12830	AltaiNeandertal	Ancestor	2516	2250	9162	8934	15279	0	15590	0	0.05581200167855644	0.012599469496021221	0.02160790831948211	0.017409516329602723	0.014624759461193073	0.016003109916097054
NA18486	NA12842	AltaiNeandertal	Ancestor	2280	2457	8912	8903	15279	0	15590	0	-0.037365421152628246	0.0005051922537187764	-0.007449450159631075	-0.011584527783231886	0.0005772931366260423	-0.005442353169846772
NA18486	NA12843	AltaiNeandertal	Ancestor	2366	2247	8805	8612	15279	0	15590	0	0.025796661608497723	0.011081127633920882	0.014162505674080799	0.007788467831664376	0.01237973059653624	0.010107227315429719
NA18486	NA12872	AltaiNeandertal	Ancestor	2488	2322	9123	8921	15279	0	15590	0	0.03451143451143451	0.011194857016182665	0.016102214054432483	0.010864585378624255	0.012957023733162284	0.011921345038711976
NA18486	NA12873	AltaiNeandertal	Ancestor	2354	2352	9007	8783	15279	0	15590	0	0.00042498937526561835	0.012591343451377178	0.010046230440967283	0.00013089861901956933	0.01436818473380372	0.007321260811817681
NA18486	NA12874	AltaiNeandertal	Ancestor	2213	2366	8772	8766	15279	0	15590	0	-0.03341340904127539	0.00034211426616489907	-0.006646471040376181	-0.010013744354997054	0.0003848620910840282	-0.004762059023615925
NA18486	NA12878	AltaiNeandertal	Ancestor	2470	2291	9248	8936	15279	0	15590	0	0.03759714345725688	0.01715794104707435	0.02139899760296361	0.011715426402251457	0.02001282873636947	0.015905925038064078
NA18486	NA12889	AltaiNeandertal	Ancestor	2424	2258	8909	8650	15279	0	15590	0	0.03545493378897907	0.014750270516544222	0.019108853019198777	0.010864585378624255	0.01661321359846055	0.01376785772133856
NA18486	NA12890	AltaiNeandertal	Ancestor	2357	2185	8918	8651	15279	0	15590	0	0.03786878027300748	0.015197222380328989	0.019854371127493102	0.011257281235682964	0.017126363053239255	0.014221387152159124
