P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+	BS_REP
NA18486	NA12829	AltaiNeandertal	Ancestor	2323	2424	9685	9280	16437	0	16942	0	-0.02127659574468085	0.02135512786712365	0.01282051282051282	-0.0061446736022388515	0.02390508794711368	0.009107522693909345	0
NA18486	NA12830	AltaiNeandertal	Ancestor	2578	2407	9759	9561	16437	0	16942	0	0.034302908726178534	0.010248447204968944	0.015182061304258383	0.010403358277057857	0.011686931885255578	0.011054854848857066	0
NA18486	NA12842	AltaiNeandertal	Ancestor	2201	2508	9362	9355	16437	0	16942	0	-0.06519430877043958	0.0003739915584762515	-0.012806283616494493	-0.018677374216706212	0.00041317435957974265	-0.008987686868989484	0
NA18486	NA12843	AltaiNeandertal	Ancestor	2311	2487	9428	9281	16437	0	16942	0	-0.03668195081283868	0.007857181035865092	-0.0012336750755094228	-0.01070755003954493	0.008676661551174596	-0.0008688097306689834	0
NA18486	NA12872	AltaiNeandertal	Ancestor	2487	2401	9866	9515	16437	0	16942	0	0.017594108019639936	0.018110520612971467	0.018006510363014545	0.0052320983147776355	0.020717742887498523	0.013092063872494682	0
NA18486	NA12873	AltaiNeandertal	Ancestor	2373	2489	9777	9517	16437	0	16942	0	-0.02385849444672974	0.013475691924950762	0.005961251862891207	-0.0070572488897000666	0.01534647621296187	0.004314089697114953	0
NA18486	NA12874	AltaiNeandertal	Ancestor	2105	2462	9195	9165	16437	0	16942	0	-0.07816947668053427	0.0016339869281045752	-0.014262659746150827	-0.02171929184157693	0.0017707472553417543	-0.009796578687198538	0
NA18486	NA12878	AltaiNeandertal	Ancestor	2436	2524	9868	9470	16437	0	16942	0	-0.017741935483870968	0.02058123901127314	0.012758251707959503	-0.005353775019772465	0.023491913587533938	0.009287276431289133	0
NA18486	NA12889	AltaiNeandertal	Ancestor	2243	2450	9519	9590	16437	0	16942	0	-0.04410824632431281	-0.0037155267151603956	-0.011679690782287203	-0.012593538966964775	-0.004190768504308818	-0.008328589831930256	0
NA18486	NA12890	AltaiNeandertal	Ancestor	2271	2362	9399	9264	16437	0	16942	0	-0.01964170084178718	0.007233563735733805	0.0018887362637362637	-0.005536290077264708	0.007968362649037894	0.0013181940741184576	0
NA18486	NA12829	AltaiNeandertal	Ancestor	2116	2069	8645	8447	14775	0	15108	0	0.011230585424133811	0.011584366955300726	0.011514781219156837	0.0031810490693739424	0.013105639396346307	0.008198641368001873	1
NA18486	NA12830	AltaiNeandertal	Ancestor	2194	2033	8582	8349	14775	0	15108	0	0.038088478826590964	0.013761738822278661	0.01862179790150298	0.010896785109983079	0.015422292824993382	0.013184753873439748	1
NA18486	NA12842	AltaiNeandertal	Ancestor	1984	2176	8467	8495	14775	0	15108	0	-0.046153846153846156	-0.0016507487324607948	-0.01041568033330177	-0.01299492385786802	-0.0018533227429176596	-0.007362045310042499	1
NA18486	NA12843	AltaiNeandertal	Ancestor	2117	2186	8487	8425	14775	0	15108	0	-0.01603532419242389	0.0036660359508041626	-0.00032995522036295075	-0.0046700507614213195	0.004103786073603389	-0.00023424689622862497	1
NA18486	NA12872	AltaiNeandertal	Ancestor	2230	2088	8681	8596	14775	0	15108	0	0.03288559518295507	0.004919835619609886	0.010511692521416994	0.00961082910321489	0.005626158326714323	0.0075962922062711245	1
NA18486	NA12873	AltaiNeandertal	Ancestor	1988	2004	8398	8267	14775	0	15108	0	-0.004008016032064128	0.007860786078607861	0.005567120104565038	-0.0010829103214890017	0.008670902832936193	0.0038483418666131245	1
NA18486	NA12874	AltaiNeandertal	Ancestor	1937	2181	8455	8527	14775	0	15108	0	-0.05925206410879068	-0.004239783299964668	-0.014976303317535545	-0.016514382402707275	-0.004765687053216839	-0.010574574172606498	1
NA18486	NA12878	AltaiNeandertal	Ancestor	2072	2103	8615	8481	14775	0	15108	0	-0.007425149700598803	0.00783809078146935	0.004842273517935217	-0.002098138747884941	0.008869473126820227	0.0034467757587926247	1
NA18486	NA12889	AltaiNeandertal	Ancestor	1941	2086	8442	8536	14775	0	15108	0	-0.03600695306679911	-0.005536576746377665	-0.011378243275410616	-0.009813874788494078	-0.006221869208366429	-0.007997858314091624	1
NA18486	NA12890	AltaiNeandertal	Ancestor	2092	2010	8541	8423	14775	0	15108	0	0.019990248659190638	0.006955906625795803	0.009493971328206589	0.005549915397631134	0.007810431559438708	0.006692768463674999	1
NA18486	NA12829	AltaiNeandertal	Ancestor	2092	1957	8210	8132	14134	0	14185	0	0.03334156581872067	0.004772977603720475	0.010445784905105194	0.009551436253006933	0.005498766302432147	0.007521452028673329	2
NA18486	NA12830	AltaiNeandertal	Ancestor	2161	1896	8145	7827	14134	0	14185	0	0.06531920138033029	0.019909842223891812	0.029107793699136252	0.01874911560775435	0.022418047232992597	0.02058688513012465	2
NA18486	NA12842	AltaiNeandertal	Ancestor	1999	2034	7982	8116	14134	0	14185	0	-0.008678403173816018	-0.008324015405640452	-0.008395012667030948	-0.0024762982878166126	-0.00944659851956292	-0.00596772484904128	2
NA18486	NA12843	AltaiNeandertal	Ancestor	2113	2053	8031	7972	14134	0	14185	0	0.014402304368698993	0.003686808723364369	0.00590014378501661	0.004245082779114193	0.004159323228762777	0.004202125781277588	2
NA18486	NA12872	AltaiNeandertal	Ancestor	2241	2026	8155	8306	14134	0	14185	0	0.050386688539957813	-0.009173197254115788	0.0030876109610189118	0.015211546625159191	-0.010645047585477617	0.002259966806737526	2
NA18486	NA12873	AltaiNeandertal	Ancestor	2031	1874	7838	7776	14134	0	14185	0	0.040204865556978234	0.003970795439989753	0.011219837081817716	0.011107966605348804	0.004370814240394783	0.007733323916804972	2
NA18486	NA12874	AltaiNeandertal	Ancestor	1893	2070	7923	8209	14134	0	14185	0	-0.04466313398940197	-0.017728737912224152	-0.023040557352575267	-0.012522994198386869	-0.02016214310891787	-0.01634944736749179	2
NA18486	NA12878	AltaiNeandertal	Ancestor	2066	1883	8044	7979	14134	0	14185	0	0.04634084578374272	0.004056668538975223	0.012417384338073302	0.012947502476298289	0.004582305252026789	0.008757371376107914	2
NA18486	NA12889	AltaiNeandertal	Ancestor	1962	1903	7910	7910	14134	0	14185	0	0.015265200517464425	0.0	0.0029972059944119887	0.0041743313994622895	0.0	0.0020834068999611567	2
NA18486	NA12890	AltaiNeandertal	Ancestor	2076	1962	8135	8250	14134	0	14185	0	0.02823179791976226	-0.007018614586512054	-4.896440287910689e-05	0.008065657280316966	-0.008107155445893549	-3.5311981355273846e-05	2
NA18486	NA12829	AltaiNeandertal	Ancestor	1610	1824	7168	6991	12393	0	12810	0	-0.06231799650553291	0.012500882830708384	-0.0021031091911555733	-0.017267812474784153	0.013817330210772834	-0.0014680791969210014	3
NA18486	NA12830	AltaiNeandertal	Ancestor	1664	1779	7201	7208	12393	0	12810	0	-0.03340110368864362	-0.0004858074814352141	-0.0068339681828366566	-0.009279431937384007	-0.000546448087431694	-0.0048406935682260045	3
NA18486	NA12842	AltaiNeandertal	Ancestor	1544	1852	6980	6980	12393	0	12810	0	-0.09069493521790342	0.0	-0.017746024429592073	-0.02485273944968934	0.0	-0.012220767368964013	3
NA18486	NA12843	AltaiNeandertal	Ancestor	1599	1885	6984	7036	12393	0	12810	0	-0.08208955223880597	-0.003708987161198288	-0.01930987202925046	-0.02307754377471153	-0.004059328649492584	-0.013411101852954013	3
NA18486	NA12872	AltaiNeandertal	Ancestor	1743	1768	7253	7061	12393	0	12810	0	-0.007120478496154941	0.01341344138605561	0.009368863955119214	-0.002017267812474784	0.014988290398126464	0.006626195294211007	3
NA18486	NA12873	AltaiNeandertal	Ancestor	1657	1794	7192	7052	12393	0	12810	0	-0.03969863807592002	0.009828699803426004	0.00016953941791466516	-0.011054627612361817	0.01092896174863388	0.00011903344839900012	3
NA18486	NA12874	AltaiNeandertal	Ancestor	1473	1782	6862	6809	12393	0	12810	0	-0.09493087557603687	0.00387681954502231	-0.015124660285950609	-0.02493343016218833	0.004137392661982826	-0.01015752093004801	3
NA18486	NA12878	AltaiNeandertal	Ancestor	1704	1906	7309	7192	12393	0	12810	0	-0.05595567867036011	0.008068409075236191	-0.004693280326873171	-0.016299523924796257	0.009133489461358314	-0.0033726143713050036	3
NA18486	NA12889	AltaiNeandertal	Ancestor	1575	1807	7123	7117	12393	0	12810	0	-0.06859846244825547	0.0004213483146067416	-0.012824877993417319	-0.018720245299765997	0.000468384074941452	-0.008967186446058008	3
NA18486	NA12890	AltaiNeandertal	Ancestor	1562	1746	7110	7021	12393	0	12810	0	-0.05562273276904474	0.0062982096100771354	-0.005447560066517576	-0.014847091099814412	0.006947697111631538	-0.0037693925326350037	3
NA18486	NA12829	AltaiNeandertal	Ancestor	2125	2182	8777	8739	15541	0	15734	0	-0.013234269793359647	0.0021694450787851107	-0.0008706410667644229	-0.003667717650086867	0.0024151519003432057	-0.0006075139888089529	4
NA18486	NA12830	AltaiNeandertal	Ancestor	2146	2193	8750	8748	15541	0	15734	0	-0.010831988937543212	0.00011429877700308607	-0.0020607226267344413	-0.003024258413229522	0.00012711325791280032	-0.0014388489208633094	4
NA18486	NA12842	AltaiNeandertal	Ancestor	2088	2313	8719	8801	15541	0	15734	0	-0.05112474437627812	-0.0046803652968036525	-0.01400483554582364	-0.014477832829290264	-0.005211643574424813	-0.009816147082334133	4
NA18486	NA12843	AltaiNeandertal	Ancestor	2206	2316	8724	8771	15541	0	15734	0	-0.024325519681556832	-0.0026864818519577024	-0.007130853431439342	-0.007078051605430796	-0.002987161560950807	-0.005019984012789768	4
NA18486	NA12872	AltaiNeandertal	Ancestor	2350	2220	8964	9072	15541	0	15734	0	0.028446389496717725	-0.005988023952095809	0.0009731929576218703	0.008364970079145486	-0.0068641159272912165	0.0007034372501998401	4
NA18486	NA12873	AltaiNeandertal	Ancestor	2119	2113	8614	8484	15541	0	15734	0	0.0014177693761814746	0.007603228447771669	0.006375996249413971	0.00038607554211440707	0.00826236176433202	0.004348521183053557	4
NA18486	NA12874	AltaiNeandertal	Ancestor	1996	2215	8618	8762	15541	0	15734	0	-0.05200664925195916	-0.008285385500575374	-0.01681256078921773	-0.014091757287175858	-0.009152154569721621	-0.011606714628297363	4
NA18486	NA12878	AltaiNeandertal	Ancestor	2155	2253	8844	8937	15541	0	15734	0	-0.02223230490018149	-0.005230302007761093	-0.008607868763801884	-0.0063059005212019814	-0.005910766492945215	-0.006107114308553157	4
NA18486	NA12889	AltaiNeandertal	Ancestor	2071	2178	8759	8726	15541	0	15734	0	-0.025182395857848906	0.0018873319988561624	-0.0034048035336339375	-0.0068850138343735925	0.0020973687555612052	-0.002366107114308553	4
NA18486	NA12890	AltaiNeandertal	Ancestor	2130	2126	8834	8811	15541	0	15734	0	0.0009398496240601503	0.0013034854066307736	0.0012328204191589425	0.000257383694742938	0.0014618024659972036	0.0008633093525179857	4
NA18486	NA12829	AltaiNeandertal	Ancestor	2931	3250	13051	12906	21935	0	22968	0	-0.051609771881572564	0.005586161729013368	-0.005414151471777958	-0.014542967859585138	0.006313131313131313	-0.0038750194864485667	5
NA18486	NA12830	AltaiNeandertal	Ancestor	3080	3376	13130	13261	21935	0	22968	0	-0.04584882280049566	-0.00496381342124209	-0.012999665114013457	-0.013494415317984955	-0.005703587600139324	-0.009509386900652518	5
NA18486	NA12842	AltaiNeandertal	Ancestor	2796	3315	12735	12807	21935	0	22968	0	-0.08492881688757978	-0.0028188865398167725	-0.018671215998483558	-0.02366081604741281	-0.003134796238244514	-0.01316170411776496	5
NA18486	NA12843	AltaiNeandertal	Ancestor	2857	3325	12573	12831	21935	0	22968	0	-0.07570365577483015	-0.010155880963627776	-0.02298486671310074	-0.021335764759516755	-0.01123301985370951	-0.01616818475380264	5
NA18486	NA12872	AltaiNeandertal	Ancestor	3112	3168	12937	12783	21935	0	22968	0	-0.008917197452229299	0.00598755832037325	0.0030625	-0.002552997492591748	0.006704980842911878	0.0021824822394940204	5
NA18486	NA12873	AltaiNeandertal	Ancestor	3046	3228	12956	12742	21935	0	22968	0	-0.029008606949314633	0.008327496303214258	0.0010008757662955086	-0.008297241850923183	0.009317311041448973	0.0007126472618755985	5
NA18486	NA12874	AltaiNeandertal	Ancestor	2706	3256	12436	12483	21935	0	22968	0	-0.09225092250922509	-0.00188611099963883	-0.019332275509212786	-0.0250740825165261	-0.0020463253221873912	-0.013295325479366635	5
NA18486	NA12878	AltaiNeandertal	Ancestor	3182	3402	13207	12931	21935	0	22968	0	-0.03341433778857837	0.010559338893564925	0.0017113868345455658	-0.01002963300661044	0.012016718913270637	0.0012471327082822974	5
NA18486	NA12889	AltaiNeandertal	Ancestor	2926	3247	12860	12907	21935	0	22968	0	-0.05200064798315244	-0.0018240384988551248	-0.011521603005635567	-0.014634146341463415	-0.0020463253221873912	-0.008195443511569383	5
NA18486	NA12890	AltaiNeandertal	Ancestor	2858	3155	12871	12764	21935	0	22968	0	-0.04939298187260935	0.004173980885508095	-0.006003538928210313	-0.013540004558924094	0.004658655520724486	-0.0042313431173863665	5
NA18486	NA12829	AltaiNeandertal	Ancestor	2519	2842	11014	10908	18785	0	19623	0	-0.06024995336690916	0.004835325244047076	-0.007953670784004692	-0.017194570135746608	0.005401824389746726	-0.005649864611539263	6
NA18486	NA12830	AltaiNeandertal	Ancestor	2668	2773	10953	11011	18785	0	19623	0	-0.019297923175886786	-0.002640684756874886	-0.005947819740923189	-0.005589566143199361	-0.002955715232125567	-0.0042439075192668195	6
NA18486	NA12842	AltaiNeandertal	Ancestor	2389	2880	10684	10780	18785	0	19623	0	-0.09318656291516417	-0.004472605292582929	-0.021957879774062022	-0.026137875964865585	-0.004892218315242318	-0.015283274317850449	6
NA18486	NA12843	AltaiNeandertal	Ancestor	2489	2938	10608	10771	18785	0	19623	0	-0.08273447576930164	-0.007624304223770991	-0.02283070954263971	-0.02390204950758584	-0.008306579014421852	-0.01593418037908769	6
NA18486	NA12872	AltaiNeandertal	Ancestor	2670	2649	10912	10707	18785	0	19623	0	0.003948110547095319	0.009482399740968593	0.008389635459202613	0.0011179132286398723	0.010446924527340366	0.00588419079358467	6
NA18486	NA12873	AltaiNeandertal	Ancestor	2617	2745	10979	10716	18785	0	19623	0	-0.023871689668034317	0.012122608896059	0.004989466681450272	-0.006813947298376364	0.013402639759465932	0.003514892730681108	6
