P1	P2	P3	P4	ABBA	BABA	BAAA	ABAA	ABBA_HOM	BABA_HOM	BAAA_HOM	ABAA_HOM	D	Danc	D+	fhom	fanc	f+
NA18486	NA06984	AltaiNeandertal	Ancestor	2202	2218	8851	8657	15254	0	15719	0	-0.0036199095022624436	0.011080648846241718	0.008117475373951112	-0.0010489052051920807	0.01234175201984859	0.0057469408839957384
NA18486	NA06985	AltaiNeandertal	Ancestor	2386	2357	9344	9170	15254	0	15719	0	0.00611427366645583	0.009398293183536783	0.008728554843702972	0.0019011406844106464	0.011069406450792034	0.006554095502534466
NA18486	NA06986	AltaiNeandertal	Ancestor	2241	2211	8934	8635	15254	0	15719	0	0.006738544474393531	0.017018612328533213	0.014940284274101993	0.0019666972597351512	0.019021566257395508	0.010622154779969651
NA18486	NA06989	AltaiNeandertal	Ancestor	2470	2331	9192	8890	15254	0	15719	0	0.028952301603832536	0.01670169229067581	0.019271948608137045	0.009112363970106202	0.01921241809275399	0.014238207471023149
NA18486	NA06994	AltaiNeandertal	Ancestor	2117	2247	8886	8893	15254	0	15719	0	-0.029789184234647114	-0.00039372293154845604	-0.006187056857697692	-0.008522354792185657	-0.0004453209491697945	-0.004423207309592225
NA18486	NA07000	AltaiNeandertal	Ancestor	2311	2189	8965	8709	15254	0	15719	0	0.02711111111111111	0.014484553581532195	0.0170469919725805	0.007997902189589616	0.016286023283923912	0.012204177832305556
NA18486	NA07037	AltaiNeandertal	Ancestor	2468	2245	9158	8742	15254	0	15719	0	0.04731593464884362	0.023240223463687152	0.028258081634458056	0.014619116297364626	0.02646478783637636	0.02063087204984987
NA18486	NA07048	AltaiNeandertal	Ancestor	2248	2299	9006	8846	15254	0	15719	0	-0.011216186496591158	0.008962581223392337	0.0048662886736015	-0.0033433853415497576	0.010178764552452447	0.003519194136828851
NA18486	NA07051	AltaiNeandertal	Ancestor	2235	2291	8944	8834	15254	0	15719	0	-0.012372956252761821	0.006187422657216785	0.002421090387374462	-0.0036711682181722826	0.006997900629811057	0.001743453976043651
NA18486	NA07056	AltaiNeandertal	Ancestor	2331	2414	9135	8829	15254	0	15719	0	-0.017492096944151738	0.017034068136272545	0.009819895195737373	-0.005441195751933919	0.019466887206565302	0.007199819197365447
