P1,P2,P3,P4,ABBA,BABA,BAAA,ABAA,ABBA_HOM,BABA_HOM,BAAA_HOM,ABAA_HOM,N_SEG,D,D_SE,D_Z,D_BLOCKS,Danc,Danc_SE,Danc_Z,Danc_BLOCKS,D+,D+_SE,D+_Z,D+_BLOCKS,fhom,fhom_SE,fhom_Z,fhom_BLOCKS,fanc,fanc_SE,fanc_Z,fanc_BLOCKS,f+,f+_SE,f+_Z,f+_BLOCKS
AFR,2H10_2X,Altai,EPO,2578.968744434932,2682.8937136130126,6977.535326626712,9503.51480265411,6512.774400684932,71.5201198630137,12728.427654109586,107.9798801369863,60520,-0.01975060541902398,0.0035201358225685373,-5.610750952391535,36,-0.15326568733260829,0.028789577918233975,-5.323651766201718,36,-0.12095456092382591,0.021911230446667953,-5.520208516734372,36,-0.016134275196603404,0.015652472127491945,-1.0307812762857582,36,-0.20014975072729002,0.034928985522923325,-5.730190777969632,36,-0.1379679756637466,0.012396404488090979,-11.129676818491214,36
AFR,2H10_2X,Altai,Chimp,2563.7200415239727,2642.2995997431517,6839.686527825343,9353.98312714041,6348.062500000001,71.98030821917808,12583.262842465752,104.5196917808219,59555,-0.01509398036002282,0.0027231728938489626,-5.542791790457646,36,-0.15526416512665264,0.029121347431706374,-5.331627099012804,36,-0.12116419643488402,0.021930621288183322,-5.524886634204469,36,-0.012520479467602747,0.01942316051978691,-0.6446159704466113,36,-0.20148636516948124,0.035174228168928255,-5.72823841938535,36,-0.13825114924761825,0.012580667687251091,-10.989174238162114,36
AFR,2H10_2X,Vindija,EPO,2590.592866010274,2683.4922872431503,6970.550294948632,9487.482079195202,6525.572773972601,108.36044520547945,12700.732020547946,155.13955479452054,60504,-0.01761431955181257,0.003173183919327255,-5.550992315487019,36,-0.1529302973179687,0.028722119720739566,-5.324478095798108,36,-0.12009097604912561,0.021759774214023593,-5.518944032596174,36,-0.014476600815657301,0.017033793800386617,-0.8498753117070564,36,-0.20062279171886177,0.03500765872517246,-5.730825739985941,36,-0.13762896542781364,0.012738204180505938,-10.804424507375675,36
AFR,2H10_2X,Vindija,Chimp,2570.259494434932,2648.1784773116433,6828.413193921234,9340.930471318496,6364.282106164383,107.14083904109589,12549.195633561645,149.10916095890408,59537,-0.014931476295890943,0.0027214223222517355,-5.486644308677703,36,-0.1553877095703384,0.029147685463264926,-5.331047975187424,36,-0.12111757564394997,0.02193184260151453,-5.522453258696379,36,-0.012452808646996452,0.01755322245332782,-0.7094314835983629,36,-0.2026209480835896,0.03536810595166987,-5.728917131170917,36,-0.13884357828565652,0.012835573819668718,-10.817091642050174,36
AFR,2H10_2X,Chagyrskaya,EPO,2608.089352311644,2682.437300941781,6968.788086900685,9469.498583476028,6596.067208904109,91.39340753424656,12708.13484589041,128.60659246575347,60497,-0.014053033564138014,0.0025563649639886595,-5.49727201010112,36,-0.1521271983339876,0.02853839107955865,-5.330615797852479,36,-0.11850893129101985,0.02145668861901693,-5.523169646316539,36,-0.011429927295428665,0.01712019780887068,-0.6676282262057948,36,-0.1987920728183546,0.03467690526522156,-5.732693598172059,36,-0.13493141802900527,0.012824009555212589,-10.521780839921439,36
AFR,2H10_2X,Chagyrskaya,Chimp,2586.61920505137,2643.276061215753,6831.3154892979455,9325.841605736301,6425.737157534246,90.92551369863013,12566.113869863013,125.8244863013699,59535,-0.010833267834218464,0.0020230020844094867,-5.355045314933864,36,-0.1543914007746465,0.0289305197149713,-5.336627281353341,36,-0.119286329387726,0.02158457563385605,-5.526461646094253,36,-0.008943731771333036,0.018819411566007728,-0.4752397140560714,36,-0.20051994286680935,0.034991481504015466,-5.730535954695104,36,-0.13588118481386421,0.013041194846309626,-10.419381537905297,36
AFR,2H10_2X,Denisova,EPO,2379.0146973458914,2699.654505565069,6952.286975599314,9696.611372859592,6194.25299657534,71.98330479452055,12885.426797945207,88.51669520547948,60389,-0.06313461172769341,0.011064998222677563,-5.705795017508443,36,-0.1648351944868655,0.031265550758921255,-5.272102697242003,36,-0.14106338402736746,0.025681721956500127,-5.492754117745748,36,-0.05237270234103512,0.018530835554582986,-2.826246133735857,36,-0.21445211189478758,0.03749617799376582,-5.719305896468775,36,-0.1620030169789466,0.011563232713145853,-14.010183916368886,36
AFR,2H10_2X,Denisova,Chimp,2362.4206451198625,2669.003138270548,6804.637032962328,9547.498498715751,6058.826198630137,70.89469178082192,12727.762842465754,84.6053082191781,59423,-0.060933546119244945,0.010680215121680558,-5.705273295062328,36,-0.16773720230240455,0.03176564717237643,-5.280459151113083,36,-0.14260693993797552,0.02594078503319112,-5.497402632785036,36,-0.05120006680103138,0.019027426251267878,-2.6908561423340007,36,-0.21694433991855458,0.03794042841752603,-5.718025572382316,36,-0.1636750246954291,0.011748282734780862,-13.931825475298464,36
AFR,2H11_2X,Altai,EPO,2588.1583527397256,2607.0298219178085,6968.2210025684935,9498.35697859589,6512.7744006849325,71.5201198630137,12728.427654109584,107.97988013698627,60492,-0.0036324900164616007,0.000981460811141029,-3.701105510507884,36,-0.1536528098868837,0.028888889872772758,-5.318750930325593,36,-0.11767311247242856,0.021318257888288603,-5.519827796861087,36,-0.0029297817405331216,0.02348242581630963,-0.12476486728633687,36,-0.20047909720329785,0.034995474459775154,-5.7287149352335405,36,-0.1337240209650815,0.02188300001397979,-6.110863267360642,36
AFR,2H11_2X,Altai,Chimp,2568.184304794521,2584.8671130136986,6839.174753424659,9323.565602739727,6348.062500000001,71.98030821917808,12583.262842465752,104.5196917808219,59530,-0.003237462013579828,0.000954910127094028,-3.390331636163538,36,-0.1537109917358497,0.02886178664781952,-5.325761485644632,36,-0.11733430707407044,0.021245911307441995,-5.52267706365557,36,-0.00265815642775132,0.024644742755529143,-0.10785896424725117,36,-0.19908982974609152,0.03476586397906728,-5.726589446071716,36,-0.13335627561783642,0.022021046429583205,-6.055855521864974,36
