P1,P2,P3,P4,ABBA,BABA,BAAA,ABAA,ABBA_HOM,BABA_HOM,BAAA_HOM,ABAA_HOM,N_SEG,D,D_SE,D_Z,D_BLOCKS,Danc,Danc_SE,Danc_Z,Danc_BLOCKS,D+,D+_SE,D+_Z,D+_BLOCKS,fhom,fhom_SE,fhom_Z,fhom_BLOCKS,fanc,fanc_SE,fanc_Z,fanc_BLOCKS,f+,f+_SE,f+_Z,f+_BLOCKS
AFR,EUR,NEA,ANC,10109.824999999999,7640.225000000001,39279.695,36556.895000000004,80744.37499999996,208.02499999999992,84923.22499999996,4430.475000000001,400062,0.1391320024450634,0.014108874210638144,9.861311424844752,100,0.03590351306671352,0.003753103941574251,9.566351911813474,100,0.05548227823971449,0.005710958759632236,9.71505496273052,100,0.03066441426759468,0.0036017600996190147,8.513730348347822,100,0.033826648983914666,0.003416873816897336,9.8998824061436,100,0.032245103524766616,0.0036793261866971557,8.763861068189849,100
ind_0,ind_5,ind_10,ancestor,10044.875,7759.125,39225.625,36746.375,80614.0,205.0,84829.5,4433.5,270966,0.12838407099528196,0.013020812321941815,9.859912563130765,100,0.032633733480756065,0.00341732398585773,9.549499437515339,100,0.05081257464596485,0.005233694058111215,9.70873996106348,100,0.028426544292305587,0.004872615563852963,5.833939476609896,100,0.03083797701378178,0.003115048173884573,9.89967900731556,100,0.02963216317900563,0.005129076803569883,5.777289815270729,100
ind_0,ind_6,ind_10,ancestor,9976.25,7810.25,39200.25,36580.75,80614.0,205.0,84829.5,4433.5,270660,0.12177775279003739,0.01235176727462626,9.859135950545355,100,0.03456671197265805,0.003618970391013521,9.551532131484882,100,0.051144895396371605,0.005268549108483981,9.707586347446705,100,0.026937283139947022,0.0053753382683648515,5.011272183274374,100,0.03258246678939251,0.003291212787793244,9.899835984545694,100,0.02975964677715245,0.0053770130199626495,5.534605675431147,100
ind_0,ind_7,ind_10,ancestor,10092.125,7762.375,39171.625,36320.375,80614.0,205.0,84829.5,4433.5,269669,0.13048531182615028,0.013233563317796923,9.860179657784947,100,0.03776890266518307,0.003950911849998997,9.55954070835386,100,0.055502884414520094,0.005714759867847381,9.712198884644783,100,0.028973746719894538,0.0052892408588247775,5.477864875741781,100,0.035465072889198465,0.00358235183785467,9.899941293995598,100,0.032219147414570444,0.005461385193616776,5.899446069511436,100
ind_0,ind_8,ind_10,ancestor,10242.5,7567.25,39311.5,36518.75,80614.0,205.0,84829.5,4433.5,270718,0.15021266441134773,0.015231255872003694,9.86213255647888,100,0.03682896996910864,0.0038490807335943016,9.568250841732139,100,0.05839384878257155,0.006009102347947041,9.717566019244341,100,0.03327052941834869,0.004857738831501913,6.848974506944032,100,0.03473742474749988,0.0035087516880425128,9.900223166512943,100,0.03400391778862598,0.004952748080440179,6.865666744270154,100
ind_0,ind_9,ind_10,ancestor,10009.875,7755.375,39214.125,36826.625,80614.0,205.0,84829.5,4433.5,271771,0.12690505340482122,0.012871368811084565,9.859483887644734,100,0.031397638766056356,0.0032900744045639228,9.543139426422151,100,0.04948510756241605,0.0050984692583276375,9.70587544125897,100,0.028037906204529343,0.005477030394883085,5.119180319087466,100,0.02969675108214339,0.002999796528403077,9.899588455738453,100,0.028867261590124683,0.00563545447886455,5.122437187344818,100
ind_1,ind_5,ind_10,ancestor,10120.125,7722.625,39442.875,36624.375,80728.625,207.875,85165.875,4430.625,272384,0.13436830085048548,0.013626607849758112,9.86073000206509,100,0.037052739516677674,0.00387619526866545,9.559048744578522,100,0.05554254073048664,0.005718821756016964,9.712234984776098,100,0.029774933790358386,0.004772133367145996,6.239333962320812,100,0.03491040159038338,0.0035264440227318907,9.899604634398463,100,0.03234608324651486,0.004919026152688873,6.575708736338719,100
ind_1,ind_6,ind_10,ancestor,10057.125,7779.375,39655.625,36696.875,80728.625,207.875,85165.875,4430.625,272421,0.12770162307627617,0.012950543336028545,9.860715474462676,100,0.0387511869290462,0.0040545613957071475,9.557430051515519,100,0.05559566403720179,0.005724965857452964,9.711090934249919,100,0.028287739495720048,0.0052328396556704645,5.405810488587509,100,0.03664756100959618,0.003701812482654726,9.89989665368319,100,0.03247321029915166,0.005267228705278,6.1651415034650086,100
ind_1,ind_7,ind_10,ancestor,10135.375,7693.875,39470.625,36280.125,80728.625,207.875,85165.875,4430.625,271697,0.13693789699510636,0.013887139245505442,9.860770787577879,100,0.04211839486737755,0.004403562857634867,9.564617612838877,100,0.060183799957255826,0.006195628749436473,9.713913210621259,100,0.030321376787970804,0.005088580136142302,5.958710676994017,100,0.03951805438145048,0.0039918856287796635,9.899595844265537,100,0.0349258322170958,0.004980254568519211,7.012860836043641,100
ind_1,ind_8,ind_10,ancestor,10370.5,7583.5,39623.5,36491.5,80728.625,207.875,85165.875,4430.625,272721,0.1552300323047789,0.015737966329646396,9.863411132883433,100,0.04114826249753662,0.004296918840140823,9.576225204241481,100,0.06292189775590258,0.006472420042348171,9.721541146003055,100,0.03461219623513194,0.004974914334087358,6.957345174362988,100,0.03879346382156493,0.003918420000296809,9.90028221033642,100,0.036705610954011016,0.004945956233044322,7.421337598739338,100
